date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:28	121/121	---M--	200	added ('OK')	image/gif	date:Tue,%2001%20Jul%202014%2007:42:11%20GMT	http://recept.mohem.se/WebResource.axd?d=sSd87U5Dy0MfJVFc9ai_H355mQ1YwUmq-GR_XsI5DsWbGfjAUv82Gx0AzvaJrxn3JRfTxylNS0r2gw3MbOYl038FEk17Mv2Auy7PPwJg1cptua-Y0&t=635398045310332500	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/WebResourceda76.gif	(from http://recept.mohem.se/)
19:45:28	118/118	---M--	200	added ('OK')	image/gif	date:Tue,%2001%20Jul%202014%2007:42:11%20GMT	http://recept.mohem.se/WebResource.axd?d=gkbzL3WfxMRNvRJZD89XuBcGCJz5fVzxZsSuIF3shhbg9UUDUe8o1ggChuy6Yu1oqKLc6_4qsDbjXkMsU4qJOlmDQVSTmm-9VDZ6thCo_T4caUNa0&t=635398045310332500	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/WebResource0780.gif	(from http://recept.mohem.se/)
19:45:28	10265/10265	---M--	200	added ('OK')	image/png	etag:%22808c21cca44ccc1:0%22	http://recept.mohem.se/Img/btz4zm7.png	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Img/btz4zm7.png	(from http://recept.mohem.se/)
19:45:30	76529/76529	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:27%20GMT	http://recept.mohem.se/RecipeOverview.aspx	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/RecipeOverview.html	(from http://recept.mohem.se/)
19:45:31	35557/35557	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:27%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=737	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe610b.html	(from http://recept.mohem.se/)
19:45:31	31494/31494	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:29%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=736	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipeea47.html	(from http://recept.mohem.se/)
19:45:33	30549/30549	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:31%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=733	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe609a.html	(from http://recept.mohem.se/)
19:45:34	30230/30230	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:32%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=732	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipeff00.html	(from http://recept.mohem.se/)
19:45:35	29991/29991	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:34%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=735	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe549f.html	(from http://recept.mohem.se/)
19:45:36	26607/26607	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:34%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=734	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe0a17.html	(from http://recept.mohem.se/)
